id,text,label,priority
1,Cống thoát nước phòng kssv-388 bị nghẹt.,vệ sinh,high
2,Phòng 605 muốn kích hoạt lại tài khoản mạng đã hết hạn.,internet,normal
3,Vòi nước phòng kssv-182 bị rò rỉ.,nước,high
4,"Báo cáo tiếng ồn từ buổi liên hoan khu nhà C sau 23h, gây mất ngủ.",khác,high
5,Phòng KSSV-141 mất điện từ trưa nay.,điện,high
6,Không vào được mạng tại phòng KSSV-667.,internet,high
7,Có tiếng ồn lớn từ phòng kssv-249 ban đêm.,khác,high
8,Đin tại phòng KSSV-120 chập chờn khi bật iều hòa.,điện,high
9,"nghị thay thế dây điện cũ vì nó quá mng, không chịu được tải các thiết bị cơ bản.",điện,urgent
10,Bảng điện hành lang gần KSSV-120 nhảy aptomat liên tục.,điện,urgent
11,"Lỗi phao nước của bồn chứa chung bị hng, nước tràn liên tục.",nước,normal
12,Đèn chiếu sáng khu vực nhà xe b vỡ bóng.,thiết bị,normal
13,"ng nước tầng 3 bị vỡ, ảnh hưởng khu vực KSSV-441.",nước,urgent
14,Phòng KSSV-346 mất điện từ sáng nay.,điện,high
15,Cầu trượt ở khu vực vui chơi bị nứt và sắc cạnh.,thiết bị,normal
16,Đin phòng kssv-318 chập chờn khi bật iều hòa.,điện,normal
17,"Gạch lát ở sân KTX bị vỡ, tạo thành hố sâu nguy hiểm.",khác,normal
18,Không vào được mạng tại phòng KSSV-470.,internet,normal
19,Wi-Fi phòng KSSV-151 không kết nối được.,internet,normal
20,Báo cáo tốc độ mạng ban ngày chậm hơn ban đêm (ngược với bình thưng).,internet,normal
21,Cống thoát nước phòng KSSV-328 bị nghẹt.,vệ sinh,normal
22,Phòng kssv-216 không có nước.,nước,high
23,Cần hỗ trợ y tế khẩn cấp cho sinh viên bị ngất xỉu trong phòng hc chung.,khác,normal
24,"Lỗi công tắc điu khiển đèn ngủ bị kẹt, đèn không tắt được.",thiết bị,normal
25,Wi-Fi phòng kssv-205 không kết nối được.,internet,normal
26,Phòng em bị phạt vì đổ dầu mỡ xuống bồn rửa chén chung.,vệ sinh,normal
27,Cần bổ sung rèm cửa cho phòng kssv-107.,khác,normal
28,Cần thay thế ổ khóa cửa phòng 402 bị kẹt chìa.,thiết bị,high
29,Cần bổ sung rèm cửa cho phòng kssv-261.,khác,normal
30,"ng nước tầng 5 bị vỡ, ảnh hưởng khu vực KSSV-398.",nước,urgent
31,Quạt phòng kssv-500 không quay.,thiết bị,normal
32,Ổ điện bàn hc phòng KSSV-363 không hoạt động.,thiết bị,normal
33,Có ngưi lạ đi lại gần phòng kssv-603 tối qua.,khác,normal
34,Wi-Fi phòng KSSV-353 không kết nối được.,internet,normal
35,Cần bổ sung rèm cửa cho phòng KSSV-412.,khác,normal
36,"Phòng 103 bị phạt vì làm ồn, hát karaoke sau 22h.",khác,high
37,Có tiếng ồn lớn từ phòng KSSV-291 vào sáng nay.,khác,normal
38,Có tiếng ồn lớn từ phòng kssv-405 ban đêm.,khác,high
39,Internet khu vực KSSV-446 mất tín hiệu.,internet,normal
40,Mùi hôi từ nhà vệ sinh kssv-607 rất khó chịu.,vệ sinh,normal
41,Lỗi tốc độ tải xuống bị giới hạn rất thấp vào buổi tối (dưới 1Mbps).,internet,normal
42,Có tiếng ồn lớn từ phòng KSSV-260 vào từ sáng nay.,khác,normal
43,Phòng KSSV-386 có rác chưa dọn.,vệ sinh,normal
44,Cần bổ sung rèm cửa cho phòng kssv-212.,khác,normal
45,"Router tầng 3 bị lỗi, phòng KSSV-631 không vào mạng.",internet,normal
46,"ng nước tầng 4 bị vỡ, ảnh hưởng khu vực KSSV-360.",nước,urgent
